电话,電話,diàn huà,ㄉㄧㄢˋㄏㄨㄚˋ,telephone/phone call,audio/ㄉㄧㄢˋㄏㄨㄚˋ.wav
电脑,電腦,diàn nǎo,ㄉㄧㄢˋㄋㄠˇ,computer,audio/ㄉㄧㄢˋㄋㄠˇ.wav
电视,電視,diàn shì,ㄉㄧㄢˋㄕˋ,television,audio/ㄉㄧㄢˋㄕˋ.wav
电视机,電視機,diàn shì jī,ㄉㄧㄢˋㄕˋㄐㄧ,television set,audio/ㄉㄧㄢˋㄕˋㄐㄧ.wav
电影,電影,diàn yǐng,ㄉㄧㄢˋㄧㄥˇ,movie/film,audio/ㄉㄧㄢˋㄧㄥˇ.wav
电影院,電影院,diàn yǐng yuàn,ㄉㄧㄢˋㄧㄥˇㄩㄢˋ,cinema/movie theater,audio/ㄉㄧㄢˋㄧㄥˇㄩㄢˋ.wav
东,東,dōng,ㄉㄨㄥ,east,audio/ㄉㄨㄥ.wav
东边,東邊,dōng bian,ㄉㄨㄥㄅㄧㄢ˙,east/east side/eastern part/to the east of,audio/ㄉㄨㄥㄅㄧㄢ˙.wav
东西,東西,dōng xī,ㄉㄨㄥㄒㄧ˙,thing/stuff/person,audio/ㄉㄨㄥㄒㄧ˙.wav
动,動,dòng,ㄉㄨㄥˋ,to use/to act,audio/ㄉㄨㄥˋ.wav
动作,動作,dòng zuò,ㄉㄨㄥˋㄗㄨㄛˋ,movement/motion/action/to move,audio/ㄉㄨㄥˋㄗㄨㄛˋ.wav
都,都,dōu,ㄉㄡ,all,audio/ㄉㄡ.wav
读,讀,dú,ㄉㄨˊ,to read/to study,audio/ㄉㄨˊ.wav
读书,讀書,dú shū,ㄉㄨˊㄕㄨ,to read a book/to study/to attend school,audio/ㄉㄨˊㄕㄨ.wav
对,對,duì,ㄉㄨㄟˋ,couple/to be opposite,audio/ㄉㄨㄟˋ.wav
对不起,對不起,duì bu qǐ,ㄉㄨㄟˋㄅㄨ˙ㄑㄧˇ,I'm sorry/excuse me/I beg your pardon/to let down,audio/ㄉㄨㄟˋㄅㄨ˙ㄑㄧˇ.wav
多,多,duō,ㄉㄨㄛ,many,audio/ㄉㄨㄛ.wav
多少,多少,duō shao,ㄉㄨㄛㄕㄠ˙,how much?/how many?/(student ID,phone number,etc) what number?,audio/ㄉㄨㄛㄕㄠ˙.wav
饿,餓,è,ㄜˋ,hungry,audio/ㄜˋ.wav
儿子,兒子,ér zi,ㄦˊㄗ˙,son,audio/ㄦˊㄗ˙.wav
二,二,èr,ㄦˊ,two,audio/ㄦˊ.wav
饭,飯,fàn,ㄈㄢˋ,food/cuisine,audio/ㄈㄢˋ.wav
饭店,飯店,fàn diàn,ㄈㄢˋㄉㄧㄢˋ,restaurant/hotel,audio/ㄈㄢˋㄉㄧㄢˋ.wav
房间,房間,fáng jiān,ㄈㄤˊㄐㄧㄢ,room,audio/ㄈㄤˊㄐㄧㄢ.wav
房子,房子,fáng zi,ㄈㄤˊㄗ˙,house/building (single- or two-story)/apartment,audio/ㄈㄤˊㄗ˙.wav
放,放,fàng,ㄈㄤˋ,to release,audio/ㄈㄤˋ.wav
放假,放假,fàng jià,ㄈㄤˋㄐㄧㄚˋ,to have a holiday or vacation,audio/ㄈㄤˋㄐㄧㄚˋ.wav
放学,放學,fàng xué,ㄈㄤˋㄒㄩㄝˊ,to dismiss students at the end of the school day,audio/ㄈㄤˋㄒㄩㄝˊ.wav
飞,飛,fēi,ㄈㄟ,to fly,audio/ㄈㄟ.wav
飞机,飛機,fēi jī,ㄈㄟㄐㄧ,airplane,audio/ㄈㄟㄐㄧ.wav
非常,非常,fēi cháng,ㄈㄟㄔㄤˊ,very/really/unusual/extraordinary,audio/ㄈㄟㄔㄤˊ.wav
分,分,fēn,ㄈㄣ,to divide/minute,audio/ㄈㄣ.wav
风,風,fēng,ㄈㄥ,wind,audio/ㄈㄥ.wav
干,幹,gàn,ㄍㄢˋ,to do/main part of sth,audio/ㄍㄢˋ.wav
干净,乾淨,gān jìng,ㄍㄢㄐㄧㄥˋ,clean/neat,audio/ㄍㄢㄐㄧㄥˋ.wav
干什么,幹什麼,gàn shén me,ㄍㄢˋㄕㄣˊㄇㄜ˙,what are you doing?/what's he up to?,audio/ㄍㄢˋㄕㄣˊㄇㄜ˙.wav
高,高,gāo,ㄍㄠ,high/tall,audio/ㄍㄠ.wav
高兴,高興,gāo xìng,ㄍㄠㄒㄧㄥˋ,happy/glad/willing (to do sth)/in a cheerful mood,audio/ㄍㄠㄒㄧㄥˋ.wav
告诉,告訴,gào su,ㄍㄠˋㄙㄨ˙,to tell/to inform/to let know,audio/ㄍㄠˋㄙㄨ˙.wav
哥哥,哥哥,gē ge,ㄍㄜㄍㄜ˙,older brother,audio/ㄍㄜㄍㄜ˙.wav
歌,歌,gē,ㄍㄜ,song,audio/ㄍㄜ.wav
个,個,gè,ㄍㄜˋ,individual,audio/ㄍㄜˋ.wav
给,給,gěi,ㄍㄟˇ,to give,audio/ㄍㄟˇ.wav
跟,跟,gēn,ㄍㄣ,to follow,audio/ㄍㄣ.wav
工人,工人,gōng rén,ㄍㄨㄥㄖㄣˊ,worker,audio/ㄍㄨㄥㄖㄣˊ.wav
工作,工作,gōng zuò,ㄍㄨㄥㄗㄨㄛˋ,to work/(of a machine) to operate/job/work/task,audio/ㄍㄨㄥㄗㄨㄛˋ.wav
关,關,guān,ㄍㄨㄢ,to shut/to close,audio/ㄍㄨㄢ.wav
关上,關上,guān shàng,ㄍㄨㄢㄕㄤˋ,to close (a door)/to turn off (light,electrical equipment etc),audio/ㄍㄨㄢㄕㄤˋ.wav
贵,貴,guì,ㄍㄨㄟˋ,expensive/noble,audio/ㄍㄨㄟˋ.wav
国,國,guó,ㄍㄨㄛˊ,country,audio/ㄍㄨㄛˊ.wav
国家,國家,guó jiā,ㄍㄨㄛˊㄐㄧㄚ,country/nation; state,audio/ㄍㄨㄛˊㄐㄧㄚ.wav
国外,國外,guó wài,ㄍㄨㄛˊㄨㄞˋ,abroad/external (affairs)/overseas/foreign,audio/ㄍㄨㄛˊㄨㄞˋ.wav
过,過,guò,ㄍㄨㄛˋ,to cross/to go over,audio/ㄍㄨㄛˋ.wav
还,還,hái,ㄏㄞˊ,also,audio/ㄏㄞˊ.wav
还是,還是,hái shi,ㄏㄞˊㄕ˙,still (as before)/had better/unexpectedly,audio/ㄏㄞˊㄕ˙.wav
还有,還有,hái yǒu,ㄏㄞˊㄧㄡˇ,there still remain(s)/there is (or are) still/in addition,audio/ㄏㄞˊㄧㄡˇ.wav
孩子,孩子,hái zi,ㄏㄞˊㄗ˙,child,audio/ㄏㄞˊㄗ˙.wav
汉语,漢語,Hàn yǔ,ㄏㄢˋㄩˇ,Chinese language,audio/ㄏㄢˋㄩˇ.wav
汉字,漢字,hàn zì,ㄏㄢˋㄗˋ,Chinese character(s),audio/ㄏㄢˋㄗˋ.wav
好,好,hǎo,ㄏㄠˇ,good,audio/ㄏㄠˇ.wav
好吃,好吃,hǎo chī,ㄏㄠˇㄔ,tasty/delicious,audio/ㄏㄠˇㄔ.wav
好看,好看,hǎo kàn,ㄏㄠˇㄎㄢˋ,good-looking/(of a movie,book,etc) good/in an embarrassing situation,audio/ㄏㄠˇㄎㄢˋ.wav
好听,好聽,hǎo tīng,ㄏㄠˇㄊㄧㄥ,pleasant to hear,audio/ㄏㄠˇㄊㄧㄥ.wav
