坏,壞,huài,ㄏㄨㄞˋ,bad/spoiled,audio/ㄏㄨㄞˋ.wav
欢,歡,huān,ㄏㄨㄢ,happy/joyous,audio/ㄏㄨㄢ.wav
回,回,huí,ㄏㄨㄟˊ,to return,audio/ㄏㄨㄟˊ.wav
会,會,huì,ㄏㄨㄟˋ,to meet/to be possible,audio/ㄏㄨㄟˋ.wav
火,火,huǒ,ㄏㄨㄛˇ,fire,audio/ㄏㄨㄛˇ.wav
鸡,雞,jī,ㄐㄧ,fowl/chicken,audio/ㄐㄧ.wav
机,機,jī,ㄐㄧ,machine/opportunity,audio/ㄐㄧ.wav
几,幾,jǐ,ㄐㄧˇ,how much,audio/ㄐㄧˇ.wav
记,記,jì,ㄐㄧˋ,to remember/to record,audio/ㄐㄧˋ.wav
家,家,jiā,ㄐㄧㄚ,home/family,audio/ㄐㄧㄚ.wav
假,假,jiǎ,ㄐㄧㄚˇ,fake/artificial,audio/ㄐㄧㄚˇ.wav
间,間,jiān,ㄐㄧㄢ,between/among,audio/ㄐㄧㄢ.wav
见,見,jiàn,ㄐㄧㄢˋ,to see/to meet,audio/ㄐㄧㄢˋ.wav
教,教,jiào,ㄐㄧㄠˋ,teaching/to make/religion,audio/ㄐㄧㄠˋ.wav
叫,叫,jiào,ㄐㄧㄠˋ,to (be) call(ed),audio/ㄐㄧㄠˋ.wav
姐,姐,jiě,ㄐㄧㄝˇ,older sister,audio/ㄐㄧㄝˇ.wav
介,介,jiè,ㄐㄧㄝˋ,introduce/lie between,audio/ㄐㄧㄝˋ.wav
今,今,jīn,ㄐㄧㄣ,today/now,audio/ㄐㄧㄣ.wav
进,進,jìn,ㄐㄧㄣˋ,advance/enter,audio/ㄐㄧㄣˋ.wav
京,京,jīng,ㄐㄧㄥ,capital,audio/ㄐㄧㄥ.wav
净,淨,jìng,ㄐㄧㄥˋ,clean,audio/ㄐㄧㄥˋ.wav
九,九,jiǔ,ㄐㄧㄡˇ,nine,audio/ㄐㄧㄡˇ.wav
就,就,jiù,ㄐㄧㄡˋ,at once/then/only,audio/ㄐㄧㄡˋ.wav
觉,覺,jué,ㄐㄩㄝˊ,to feel/to find that/awake,audio/ㄐㄩㄝˊ.wav
觉,覺,jiào,ㄐㄧㄠˋ,a nap/a sleep,audio/ㄐㄧㄠˋ.wav
开,開,kāi,ㄎㄞ,open,audio/ㄎㄞ.wav
看,看,kàn,ㄎㄢˋ,to see/to look at,audio/ㄎㄢˋ.wav
考,考,kǎo,ㄎㄠˇ,to check,audio/ㄎㄠˇ.wav
渴,渴,kě,ㄎㄜˇ,thirsty,audio/ㄎㄜˇ.wav
客,客,kè,ㄎㄜˋ,customer/visitor,audio/ㄎㄜˋ.wav
课,課,kè,ㄎㄜˋ,subject/class,audio/ㄎㄜˋ.wav
口,口,kǒu,ㄎㄡˇ,mouth,audio/ㄎㄡˇ.wav
快,快,kuài,ㄎㄨㄞˋ,fast/quick,audio/ㄎㄨㄞˋ.wav
块,塊,kuài,ㄎㄨㄞˋ,piece/chunk,audio/ㄎㄨㄞˋ.wav
来,來,lái,ㄌㄞˊ,to come,audio/ㄌㄞˊ.wav
老,老,lǎo,ㄌㄠˇ,prefix used before a persons surname,audio/ㄌㄠˇ.wav
老,老,lǎo,ㄌㄠˇ,numeral indicating the order of birth of the children in a family,audio/ㄌㄠˇ.wav
老,老,lǎo,ㄌㄠˇ,prefix used to indicate affection or familiarity,audio/ㄌㄠˇ.wav
了,了,le,ㄌㄜ˙,completed action marker,audio/ㄌㄜ˙.wav
